NombreEstacion,NumeroEstacion,Latitud,Longitud,Localidad1,Localidad2,UbicacionEstacion
AV. Jiménez - CL 13,9110,4.6031429,-74.07913104,Los Mártires,La Candelaria,Calle 13 - caracas
Patio Bonito,5001,4.6348279,-74.16271887,Kennedy,-,av.Cali - Calle 40 sur
Suba - Calle 116,3009,4.69918067,-74.06975627,Suba,-,Av Suba Cll 114
Normandía,6002,4.6673226,-74.11231782,Engativá,Fontibón,carrera 73a
Recinto Ferial,6106,4.63410021,-74.08920322,Teusaquillo,-,Carrera 43
NQS - Calle 30 S,7008,4.59529801,-74.11581228,Antonio Nariño,Puente Aranda,AutoSur-Dg 26 Sur
Suba - AV. Boyacá,3005,4.71988287,-74.07452333,Suba,-,Av Suba Av Boyaca
Escuela Militar,4107,4.67527646,-74.06923537,Barrios Unidos,-,Carrera 40
Zona Industrial,12007,4.62024214,-74.09846359,Puente Aranda,-,calle 13 carrera 38
Santa Lucía,9004,4.57071884,-74.12473269,Rafael Uribe Uribe,Tunjuelito,Calle 46A Sur - Diagonal 4
Toberín,2101,4.74733097,-74.04703429,Usaquén,Suba,Calle 165
San Martín,3014,4.67670446,-74.06698829,Barrios Unidos,-,Av Suba Cl 81
La Castellana,7101,4.67692744,-74.06210113,Barrios Unidos,-,KR 30 Kr 24
Comuneros,7112,4.60570801,-74.09855967,Los Mártires,Puente Aranda,KR 30 -Cl 6A
Calle 161,2102,4.74154193,-74.04796835,Usaquén,Suba,Calle 160
Campín,7106,4.64345924,-74.07879784,Teusaquillo,-,Kr 30 Cl 53
CAN,6103,4.64671936,-74.09893248,Teusaquillo,-,Carrera 60
Portal de Suba,3000,4.74653621,-74.09625691,Suba,-,Av Suba Av C. Cali
Fucha,9105,4.58322682,-74.09893378,Antonio Nariño,-,Calle 13 Sur - Calle 16 Su
Guatoque - Veraguas,7201,4.60413498,-74.09485855,Los Mártires,-,Carrera 27
Tygua - San José,7200,4.59977591,-74.08872537,Los Mártires,-,Carrera 18
Rionegro,3013,4.67978148,-74.06508621,Barrios Unidos,-,Av Suba Cl 87
Molinos,9001,4.55683171,-74.12173166,Tunjuelito,Rafael Uribe Uribe,Carrera 9A
AV. Américas - AV. Boyacá,5102,4.6302734,-74.13458973,Kennedy,-,Av. Americas -Carrera 71
Terreros - Hospital C.V,7504,4.59003235,-74.19752499,Soacha,-,soacha
Leon XIII,7505,4.59201635,-74.19337284,Soacha,-,soacha
Ricaurte - CL 13,12003,4.61283803,-74.09009135,Los Mártires,-,calle 13 - carrera 28
San Bernardo,10010,4.58944781,-74.08474329,Santa Fé,-,Kra 10- Cl1b  sur
Portal El Dorado,6000,4.68113815,-74.12098887,Fontibón,Engativá,carrera 87
Parque,8001,4.56841787,-74.13489203,Tunjuelito	,-,Calle 55 Sur
Quirigua,4001,4.70653892,-74.10852651,Engativá,-,Carrera 94
Consuelo,9002,4.56016875,-74.12383771,Tunjuelito,Rafael Uribe Uribe,Carrera 11A - Carrera 10C
Sevillana,7003,4.59529816,-74.14767232,Kennedy,Tunjuelito,Sevillana
San Mateo,7503,4.58543136,-74.20659531,Soacha,-,soacha
AV. Jiménez - Caracas,9110,4.6022619,-74.0807021,Los Mártires,La Candelaria,Calle 13 - Calle 11
Calle 22,9113,4.61212995,-74.07441784,Santa Fé,Los Mártires,Calle 24 - Calle 22
Ciudad Universitaria,6107,4.63020415,-74.08297304,Teusaquillo,-,carrera 34
San Fason Carrera 22,12004,4.60981799,-74.08671226,Los Mártires,-,Av. Americas -Carrera 22
AV. 39,9116,4.62859306,-74.06823856,Santa Fé,Teusaquillo,Avenida 39 - Avenida Calle
Movistar Arena,7105,4.65033029,-74.07828379,Teusaquillo,-,Kr 30 Cl 57
Suba - Calle 100,3011,4.69003157,-74.06540117,Suba,-,Av Suba Cl 100
Tercer Milenio,9109,4.59799788,-74.08383022,Santa Fé,Los Mártires,Calle 8 - Calle 6
Pradera,5105,4.62859531,-74.11905023,Puente Aranda,-,Av. Americas -Carrera 64
Quiroga,9101,4.57676184,-74.11424032,Rafael Uribe Uribe,-,Calle 31 Sur - Calle 32 Su
De La Sabana,14001,4.60602494,-74.08251114,Los Mártires,-,Calle 13 - Carrera 16
